sr_data_query,priority,team
"Intermittent downtime on admin panel",HIGH PRIORITY URGENT TECHNICAL,TECH
"Need to adjust TERMs shown to users in EU",HIGH PRIORITY LONG TERM TECHNICAL,policy
"How do I delete my saved addresses?",AWARENESS,
"Button color contrast for accessibility",LOW PRIORITY TECHNICAL,PRODUCT
"Explain the billing cycle in detail",AWARENESS,
"App logs me out after each session",HIGH PRIORITY LONG TERM TECHNICAL,TECH
"Please rephrase T&C for better readability",LOW PRIORITY TECHNICAL,policy
"How to activate two-factor authentication?",AWARENESS,
"Live chat disconnects randomly",HIGH PRIORITY URGENT TECHNICAL,TECH
"Delayed syncing of contacts",HIGH PRIORITY LONG TERM TECHNICAL,TECH
"Alignment on password reset screen",LOW PRIORITY TECHNICAL,PRODUCT
"What happens to my data if I close my account?",AWARENESS,
"Cannot submit KYC documents",HIGH PRIORITY URGENT TECHNICAL,TECH
"PDF reports have formatting issues",HIGH PRIORITY LONG TERM TECHNICAL,PRODUCT
"Email input box extends beyond layout",LOW PRIORITY TECHNICAL,PRODUCT
"Can I recover deleted data?",AWARENESS,
"Payments not reflecting in transaction history",HIGH PRIORITY URGENT TECHNICAL,TECH
"Suggestion: Option to duplicate past orders",LOW PRIORITY TECHNICAL,PRODUCT
"What’s your data encryption policy?",AWARENESS,
"Dashboard takes time to reflect recent activity",HIGH PRIORITY LONG TERM TECHNICAL,TECH
"Logo is blurry on login screen",LOW PRIORITY TECHNICAL,PRODUCT
"Can I pause my subscription?",AWARENESS,
"Policy page link is broken",LOW PRIORITY TECHNICAL,policy
"Unable to verify email address",HIGH PRIORITY URGENT TECHNICAL,TECH
"Request for reports to include timestamps",HIGH PRIORITY LONG TERM TECHNICAL,PRODUCT
"Spelling error in contact us footer",LOW PRIORITY TECHNICAL,PRODUCT
"Is your platform ISO certified?",AWARENESS,
"System throws 500 error on API call",HIGH PRIORITY URGENT TECHNICAL,TECH
"Redesign suggestion for checkout fLOW",LOW PRIORITY TECHNICAL,PRODUCT
"How do I request data deletion?",AWARENESS,
"Cannot apply coupon code during checkout",HIGH PRIORITY URGENT TECHNICAL,TECH
"AlLOW admins to revoke access remotely",HIGH PRIORITY LONG TERM TECHNICAL,policy
"Form field doesn't auto-focus",LOW PRIORITY TECHNICAL,PRODUCT
"Where do I update my communication preferences?",AWARENESS,
"Mismatch in values between app and exported CSV",HIGH PRIORITY URGENT TECHNICAL,TECH
"App UI freezes when switching tabs",HIGH PRIORITY LONG TERM TECHNICAL,TECH
"Fonts inconsistent across platforms",LOW PRIORITY TECHNICAL,PRODUCT
"Do you offer student discounts?",AWARENESS,
"Compliance data not available in audit export",HIGH PRIORITY LONG TERM TECHNICAL,policy
"App not showing latest announcements",LOW PRIORITY TECHNICAL,PRODUCT
"Can I use this service in offline mode?",AWARENESS,
"Account suspended without reason",HIGH PRIORITY URGENT TECHNICAL,policy
"Feature request: Custom user roles",HIGH PRIORITY LONG TERM TECHNICAL,PRODUCT
"Image fails to upload under weak network",LOW PRIORITY TECHNICAL,TECH
"What ports does your API use?",AWARENESS,
"Admin panel not updating after edits",HIGH PRIORITY LONG TERM TECHNICAL,TECH
"Alignment in billing section",LOW PRIORITY TECHNICAL,PRODUCT
"How do I contact your legal team?",AWARENESS,
"Unexpected logout from web portal",HIGH PRIORITY URGENT TECHNICAL,TECH
"Request version history tracking",HIGH PRIORITY LONG TERM TECHNICAL,PRODUCT
"Link colors are not accessible to colorblind users",LOW PRIORITY TECHNICAL,PRODUCT
"Can I manage multiple accounts under one login?",AWARENESS,
"App shows outdated license information",HIGH PRIORITY LONG TERM TECHNICAL,PRODUCT
"Add support for CSV bulk import",HIGH PRIORITY LONG TERM TECHNICAL,PRODUCT
"Form text overlaps on translation",LOW PRIORITY TECHNICAL,TECH
"Where can I download old tax forms?",AWARENESS,
